nclusters	gsmatch	E[gsmatch]	avggcount	fE[/326insteadof3224]	favgcount(/326insteadof3224)
2 326 325.834138896 329.0 3220.36123124 3251.65030675
3 326 325.751208344 329.0 3218.54235563 3250.64110429
4 326 325.668277792 329.0 3216.72398881 3249.63190184
5 326 325.58534724 329.0 3214.90613076 3248.62269939
6 326 325.502416688 329.0 3213.08878148 3247.61349693
7 324 324.838972272 327.0 3200.57186467 3221.88957055
8 214 240.106334266 222.711656442 2690.48333757 2441.75766871
9 211 236.88018316 219.141104294 2618.3469855 2371.16564417
10 210 235.13965912 217.555214724 2598.98626304 2353.52147239
12 212 235.981429662 218.36196319 2603.1378784 2360.28834356
14 210 231.814296617 216.77607362 2524.73899771 2313.49693252
16 208 229.368354108 215.196319018 2489.08700076 2288.15337423
18 206 228.105062325 212.82208589 2461.42966166 2249.37423313
20 205 225.978377003 211.263803681 2453.52276774 2246.07055215
25 203 216.322055457 206.242331288 2316.13177309 2161.97239264
30 167 166.615619435 165.0 1749.51386416 1689.55521472
35 160 159.486899008 160.027607362 1707.36657339 1669.76993865
40 155 155.784787586 156.671779141 1673.44594251 1639.59509202
45 147 141.596794709 148.282208589 1493.23988807 1523.90490798
50 129 125.659628593 129.883435583 1330.59450521 1335.3803681
55 121 116.868226914 121.745398773 1217.13279064 1228.95705521
60 77 66.4306792165 70.7484662577 686.341897736 692.113496933
65 75 65.6484355126 69.3865030675 664.852709234 665.929447853
70 78 65.7512083439 69.3619631902 666.639531926 667.647239264
75 76 61.5057237344 66.5674846626 624.205800051 638.73006135
80 77 60.2007122869 66.9049079755 593.93233274 623.886503067
85 71 52.7972526075 57.7914110429 529.813533452 540.153374233
90 66 54.803103536 59.1932515337 547.005087764 552.085889571
95 70 63.5367590944 66.2883435583 628.005087764 614.263803681
100 60 45.4751971509 50.4447852761 456.300941236 462.68404908
110 75 61.2386161282 65.2055214724 593.648944289 591.911042945
120 46 38.0071228695 43.1104294479 361.127448486 372.380368098
130 56 48.5901806156 47.1564417178 501.595013991 444.751533742
140 57 47.9376748919 47.0705521472 505.445942508 451.389570552
150 57 51.1226151107 49.2883435583 520.088272704 459.90797546
160 57 49.6993131519 48.3404907975 498.816840499 446.101226994
170 32 28.8689900789 30.0981595092 279.678707708 252.665644172
180 35 28.9152887306 29.6993865031 282.401678962 253.101226994
190 35 28.3724243195 29.3435582822 278.404222844 248.490797546
200 39 29.9824472144 30.7147239264 297.299669295 265.711656442
225 46 40.367845332 38.7515337423 411.208343933 349.742331288
250 33 19.7919104554 21.7760736196 184.646146019 165.22392638
275 33 19.0780971763 22.463190184 164.629356398 162.644171779
300 26 15.7903841262 17.0644171779 139.892902569 122.573619632
325 25 14.1355889087 16.8834355828 126.425845841 114.987730061
350 26 12.847112694 16.0920245399 114.683032307 113.049079755
375 21 11.3724243195 12.9478527607 101.421521241 90.0306748466
400 28 12.805647418 15.2484662577 113.993131519 108.656441718
425 23 9.71254133808 11.5858895706 79.2096158738 73.0674846626
450 23 9.14143983719 11.1779141104 71.6937166115 62.4478527607
475 22 10.7496820148 12.3588957055 83.0870007632 77.7760736196
500 19 10.1846858306 12.1012269939 78.3960824218 76.3374233129
550 20 6.76163825998 9.0245398773 51.3625031799 52.472392638
600 19 8.8448232002 11.1595092025 65.9674383109 68.8098159509
650 17 7.69269905876 10.4202453988 50.691681506 54.2515337423
700 14 6.62070719919 9.29754601227 49.7219537013 54.6380368098
800 23 9.68506741287 13.3650306748 69.099720173 84.7760736196
900 20 8.3943017044 11.463190184 60.9280081404 71.3251533742
1000 19 8.31798524548 12.2791411043 53.7224624777 70.763803681
